ICD9,ICD10
0980,A540
09810,A542
09811,N338
09812,N510
09813,N511
09814,N518
09815,N743
09816,N743
09817,N743
09819,A542
0982,A540
09830,N390
09831,N302
09832,N510
09833,N511
09834,N518
09835,N72
09836,N743
09837,N743
09839,A542
09840,A543
09841,A543
09842,A543
09843,A543
09849,A543
09850,A544
09851,A544
09852,A544
09853,A544
09859,A544
0986,A545
0987,A546
09881,H192
09882,G01
09883,I320
09884,I398
09885,I520
09886,K671
09889,A548
0990,A57
0991,A55
0992,A58
0993,M0239
09940,N341
09941,A562
09949,N341
09950,A568
09951,A564
09952,A563
09953,A560
09954,A561
09955,A562
09956,K670
09959,A568
0998,A638
0999,A64
1000,A270
10081,G01
10089,A278
1009,A279
101,A691
1020,A660
1021,A661
1022,A662
1023,A663
1024,A664
1025,A665
1026,A666
1027,A667
1028,A668
1029,A669
1030,A670
1031,A671
1032,A672
1033,A673
1039,A679
1040,A65
1048,A698
1049,A699
1100,B350
1101,B351
1102,B352
1103,B356
1104,B353
1105,B354
1106,B358
1108,B358
1109,B359
1110,B360
1111,B361
1112,B362
1113,B363
1118,B368
1119,B369
1120,B370
1121,B373
1122,B374
1123,B372
1124,B371
1125,B3788
11281,B376
11282,H609
11283,B375
11284,B3781
11285,A09
11289,B3788
1129,B379
1140,B380
1141,B383
1142,B384
1143,B388
1144,B381
1145,B382
1149,B389
11500,B394
11501,G028
11502,H368
11503,I321
11504,I398
11505,J998
11509,B394
11510,B395
11511,G028
11512,H368
11513,I321
11514,I398
11515,J998
11519,B395
11590,B399
11591,G028
11592,H368
11593,I321
11594,I398
11595,J998
11599,B399
1160,B409
1161,B419
1162,B480
1170,B481
1171,B420
1172,B439
1173,B449
1174,B470
1175,B459
1176,B482
1177,B469
1178,B439
1179,B488
118,B487
1200,B650
1201,B651
1202,B652
1203,B653
1208,B658
1209,B659
1210,B660
1211,B661
1212,B664
1213,B663
1214,B665
1215,B668
1216,B668
1218,B668
1219,B669
1220,B670
1221,B671
1222,E350
1223,B673
1224,B674
1225,B675
1226,B676
1227,B677
1228,B678
1229,B679
1230,B680
1231,B699
1232,B681
1233,B689
1234,B700
1235,B701
1236,B710
1238,B718
1239,B719
124,B75
1250,B740
1251,B741
1252,B743
1253,B73
1254,B744
1255,B744
1256,B748
1257,B72
1259,B749
1260,B760
1261,B761
1262,B760
1263,B760
1268,B760
1269,B760
1270,B779
1271,B810
1272,B789
1273,B79
1274,B80
1275,B811
1276,B812
1277,B818
1278,B814
1279,B820
1280,B830
1281,B831
1288,B838
1289,B839
129,B829
1300,B582
1301,B580
1302,B580
1303,I412
1304,B583
1305,B581
1307,B588
1308,B588
1309,B589
13100,A590
13101,N771
13102,A590
13103,N510
13109,A590
1318,A598
1319,A599
1320,B850
1321,B851
1322,B853
1323,B854
1329,B852
1330,B86
1338,B880
1339,B880
1340,B879
1341,B882
1342,B883
1348,B889
1349,B889
135,D869
1360,L946
1361,M352
1362,A068
1363,B59
1364,B888
1365,A068
1368,B888
1369,B89
1370,B909
1371,B900
1372,B901
1373,B902
1374,B908
138,B91
1390,B941
1391,B940
1398,B948
1400,C000
1401,C001
1403,C003
1404,C004
1405,C005
1406,C006
1408,C008
1409,C002
1410,C01
1411,C020
1412,C021
1413,C022
1414,C023
1415,C028
1416,C024
1418,C028
1419,C029
1420,C07
1421,C080
1422,C081
1428,C088
1429,C089
1430,C030
1431,C031
1438,C039
1439,C039
1440,C040
1441,C041
1448,C048
1449,C049
1450,C060
1451,C061
1452,C050
1453,C051
1454,C052
1455,C059
1456,C062
1458,C068
1459,C069
1460,C099
1461,C090
1462,C091
1463,C100
1464,C101
1465,C108
1466,C102
1467,C103
1468,C108
1469,C109
1470,C110
1471,C111
1472,C112
1473,C113
1478,C118
1479,C119
1480,C130
1481,C12
1482,C131
1483,C132
1488,C138
1489,C139
1490,C140
1491,C142
1498,C148
1499,C069
1500,C150
1501,C151
1502,C152
1503,C153
1504,C154
1505,C155
1508,C268
1509,C159
1510,C160
1511,C164
1512,C163
1513,C161
1514,C162
1515,C165
1516,C166
1518,C168
1519,C169
1520,C170
1521,C171
1522,C172
1523,C173
1528,C178
1529,C179
1530,C183
1531,C184
1532,C186
1533,C187
1534,C180
1535,C181
1536,C182
1537,C185
1538,C188
1539,C189
1540,C19
1541,C20
1542,C211
1543,C210
1548,C218
1550,C220
1551,C221
1552,C229
1560,C23
1561,C240
1562,C241
1568,C248
1569,C249
1570,C250
1571,C251
1572,C252
1573,C253
1574,C254
1578,C258
1579,C259
1580,C480
1588,C481
1589,C482
1590,C260
1591,C261
1598,C268
1599,C269
1600,C300
1601,C301
1602,C310
1603,C311
1604,C312
1605,C313
1608,C318
1609,C319
1610,C320
1611,C321
1612,C322
1613,C323
1618,C328
1619,C329
1620,C33
1622,C340
1623,C341
1624,C342
1625,C343
1628,C348
1629,C349
1630,C384
1631,C384
1638,C388
1639,C384
1640,C37
1641,C380
1642,C381
1643,C382
1648,C388
1649,C383
1650,C390
1658,C398
1659,C399
17001,C4101
17002,C4102
1701,C411
1702,C412
1703,C413
1704,C400
1705,C401
1706,C414
1707,C402
1708,C403
1709,C409
1710,C490
1712,C491
1713,C492
1714,C493
1715,C494
1716,C495
1717,C496
1718,C498
1719,C499
1720,C430
1721,C431
1722,C432
1723,C433
1724,C434
1725,C435
1726,C436
1727,C437
1728,C438
1729,C439
1730,C440
1731,C441
1732,C442
1733,C443
1734,C444
1735,C445
1736,C446
1737,C447
1738,C448
1739,C449
1740,C500
1741,C501
1742,C502
1743,C503
1744,C504
1745,C505
1746,C506
1748,C508
1749,C509
1750,C500
1759,C508
1760,C460
1761,C461
1762,C462
1763,C269
1764,C349
1765,C463
1768,C467
1769,C469
179,C55
1800,C530
1801,C531
1808,C538
1809,C539
181,C58
1820,C549
1821,C540
1828,C548
1830,C56
1832,C570
1833,C571
1834,C573
1835,C572
1838,C574
1839,C574
1840,C52
1841,C510
1842,C511
1843,C512
1844,C519
1848,C578
1849,C579
185,C61
1860,C620
1869,C629
1871,C600
1872,C601
1873,C602
1874,C609
1875,C630
1876,C631
1877,C632
1878,C638
1879,C639
1880,C670
1881,C671
1882,C672
1883,C673
1884,C674
1885,C675
1886,C676
1887,C677
1888,C678
1889,C679
1890,C64
1891,C65
1892,C66
1893,C680
1894,C681
1898,C688
1899,C689
1900,C694
1901,C696
1902,C695
1903,C690
1904,C691
1905,C692
1906,C693
1907,C695
1908,C698
1909,C699
1910,C710
1911,C711
1912,C712
1913,C713
1914,C714
1915,C715
1916,C716
1917,C717
1918,C718
1919,C719
1920,C725
1921,C700
1922,C720
1923,C701
1928,C728
1929,C729
193,C73
1940,C749
1941,C750
1943,C751
1944,C753
1945,C754
1946,C755
1948,C758
1949,C759
1950,C760
1951,C761
1952,C762
1953,C763
1954,C764
1955,C765
1958,C767
1960,C770
1961,C771
1962,C772
1963,C773
1965,C774
1966,C775
1968,C778
1969,C779
1970,C780
1971,C781
1972,C782
1973,C783
1974,C784
1975,C785
1976,C786
1977,C787
1978,C788
1980,C790
1981,C791
1982,C792
1983,C793
1984,C794
1985,C795
1986,C796
1987,C797
19881,C7981
19882,C7982
19889,C7988
1990,C80
1991,C80
20000,C833
20001,C833
20002,C833
20003,C833
20004,C833
20005,C833
20006,C833
20007,C833
20008,C833
20010,C830
20011,C830
20012,C830
20013,C830
20014,C830
20015,C830
20016,C830
20017,C830
20018,C830
20020,C837
20021,C837
20022,C837
20023,C837
20024,C837
20025,C837
20026,C837
20027,C837
20028,C837
20080,C830
20081,C830
20082,C830
20083,C830
20084,C830
20085,C830
20086,C830
20087,C830
20088,C830
20100,C817
20101,C817
20102,C817
20103,C817
20104,C817
20105,C817
20106,C817
20107,C817
20108,C817
20110,C817
20111,C817
20112,C817
20113,C817
20114,C817
20115,C817
20116,C817
20117,C817
20118,C817
20120,C817
20121,C817
20122,C817
20123,C817
20124,C817
20125,C817
20126,C817
20127,C817
20128,C817
20140,C810
20141,C810
20142,C810
20143,C810
20144,C810
20145,C810
20146,C810
20147,C810
20148,C810
20150,C811
20151,C811
20152,C811
20153,C811
20154,C811
20155,C811
20156,C811
20157,C811
20158,C811
20160,C812
20161,C812
20162,C812
20163,C812
20164,C812
20165,C812
20166,C812
20167,C812
20168,C812
20170,C813
20171,C813
20172,C813
20173,C813
20174,C813
20175,C813
20176,C813
20177,C813
20178,C813
20190,C819
20191,C819
20192,C819
20193,C819
20194,C819
20195,C819
20196,C819
20197,C819
20198,C819
20200,C822
20201,C822
20202,C822
20203,C822
20204,C822
20205,C822
20206,C822
20207,C822
20208,C822
20210,C840
20211,C840
20212,C840
20213,C840
20214,C840
20215,C840
20216,C840
20217,C840
20218,C840
20220,C841
20221,C841
20222,C841
20223,C841
20224,C841
20225,C841
20226,C841
20227,C841
20228,C841
20230,C961
20231,C961
20232,C961
20233,C961
20234,C961
20235,C961
20236,C961
20237,C961
20238,C961
20240,C9140
20241,C9140
20242,C9140
20243,C9140
20244,C9140
20245,C9140
20246,C9140
20247,C9140
20248,C9140
20250,C960
20251,C960
20252,C960
20253,C960
20254,C960
20255,C960
20256,C960
20257,C960
20258,C960
20260,C962
20261,C962
20262,C962
